STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
NL:S:25130100;1.9000000000000001;2.1999999999999997;10.5;11.299999999999999;1.0;1.1;Sloefweg;Ens;182331.5;520141.0
NL:S:25130200;1.0;1.0;6.4;6.5;0.9;1.1;Bomenweg;Emmeloord;181437.0;522743.0
NL:S:25130300;0.9;1.3;4.4;7.9;1.0;0.30000000000000004;Kleiweg;Emmeloord;181398.5;523710.5
NL:S:25140100;0.0;0.0;2.1;3.4;0.0;0.0;Schaftweg/Nagelerweg;Emmeloord;179687.0;520921.0
NL:S:25140300;0.0;0.0;1.2;1.5;0.0;0.0;Johannes Postweg;Nagele;178436.0;519222.0
NL:S:25150100;0.0;0.1;1.2;2.3;0.0;0.0;Urkerweg 34;Tollebeek;175556.5;521626.5
NL:S:25150200;17.0;16.900000000000002;221.0;228.5;0.0;0.0;Sint Hubertusplaats;Tollebeek;174788.5;521106.5
NL:S:25150300;0.0;0.1;0.7;0.9;0.0;0.0;Urkerweg 46;Tollebeek;174030.0;520539.5
NL:S:25150400;0.6;0.5;3.7;4.0;0.0;0.0;Urkerdwarspad;Urk;173136.5;519912.5
NL:S:25170030;0.8;0.5;4.800000000000001;2.9000000000000004;0.7;0.30000000000000004;Zwembad Voorst;Kraggenburg;188725.0;520472.0
NL:S:25170050;0.7;0.6;6.5;5.8;0.30000000000000004;0.1;Picknickplaats;Kraggenburg;188245.5;521229.5
NL:S:25170070;0.1;0.2;2.6;2.2;0.30000000000000004;0.2;Mammouthweg;Kraggenburg;187637.5;522190.0
NL:S:25170090;0.4;0.3;3.8000000000000003;3.9;0.2;0.1;Leemringweg/Sloefweg;Marknesse;187217.0;522856.5
NL:S:25170110;0.0;0.0;1.1;0.6;0.0;0.0;Boslaan;Marknesse;186580.0;524588.0
NL:S:25170211;47.4;55.699999999999996;665.1;644.0;11.600000000000001;12.299999999999999;Busstation;Marknesse;187459.8;525082.6
NL:S:25170230;11.600000000000001;16.0;156.7;173.20000000000002;7.8;10.5;Breestraat;Marknesse;187147.0;524599.5
NL:S:25170250;1.3;1.9;9.7;13.2;3.7;2.8;Netl;Kraggenburg;187872.0;521826.5
NL:S:25180010;34.5;19.9;165.8;64.2;0.0;0.0;Busstation;Blokzijl;193503.5;526888.5
NL:S:25180030;0.6;0.7;11.9;11.0;0.0;0.0;Uiterdijkenweg;Marknesse;192234.0;526354.5
