STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:47909001;Oostriklaan;Deventer;7,4;7,6;2,8;3,8;1,8;2,1
NL:S:49610015;Fokko Kortlanglaan;Ermelo;6,1;6,3;1,6;1,2;1,0;1,1
NL:S:49610021;Bouw en Infrapark;Harderwijk;0,3;0,8;0,0;0,0;0,0;0,0
NL:S:49610030;Wattstraat;Harderwijk;0,8;1,2;0,0;0,0;0,0;0,0
NL:S:49613001;Station;Harderwijk;184,9;163,3;32,8;30,3;14,4;17,8
NL:S:49613003;Ziekenhuis Sint Jansdal;Harderwijk;8,3;10,2;0,0;0,0;0,0;0,0
NL:S:49613010;Selhorstweg;Harderwijk;5,5;6,1;1,6;1,5;0,0;0,0
NL:S:49613011;Alberdingk Thijmlaan;Harderwijk;1,5;1,6;0,0;0,0;0,0;0,0
NL:S:49613017;Mecklenburglaan;Harderwijk;15,2;19,0;1,0;1,3;0,7;1,4
NL:S:49613019;Voorste Wei;Harderwijk;1,0;0,7;0,0;0,0;0,0;0,0
NL:S:49613021;Stadswei;Harderwijk;0,5;1,0;0,0;0,0;0,0;0,0
NL:S:49613023;Couperuslaan;Harderwijk;1,6;1,9;0,0;0,0;0,0;0,0
NL:S:49613025;RK Kerk;Harderwijk;0,8;1,1;0,0;0,0;0,0;0,0
NL:S:49613027;Deventerweg;Harderwijk;5,5;7,9;0,0;0,0;0,0;0,0
NL:S:49613029;Hotel Van der Valk;Harderwijk;3,0;2,1;0,0;0,0;0,0;0,0
NL:S:49613033;Salentijnerhout;Harderwijk;2,7;3,2;0,0;0,0;0,0;0,0
NL:S:49613035;Triasplein;Harderwijk;13,3;11,0;0,0;0,0;0,0;0,0
NL:S:49613037;Ragtimedreef;Harderwijk;3,1;3,2;0,0;0,0;0,0;0,0
NL:S:49613039;IJsselmeerpad;Harderwijk;1,6;1,2;0,0;0,0;0,0;0,0
NL:S:49613041;De Roef;Harderwijk;1,4;2,3;0,0;0,0;0,0;0,0
NL:S:49613045;Anne Franklaan;Harderwijk;1,6;1,1;0,0;0,0;0,0;0,0
NL:S:49613049;De Wittenhagen;Harderwijk;0,7;0,7;0,0;0,0;0,0;0,0
NL:S:49613051;Doornekamp;Harderwijk;0,3;0,8;0,0;0,0;0,0;0,0
NL:S:49613053;Frankenskamp;Harderwijk;1,0;1,1;0,0;0,0;0,0;0,0
NL:S:49613055;Karel Doormanlaan;Harderwijk;0,7;0,4;0,0;0,0;0,0;0,0
NL:S:49613057;Kiekmure;Harderwijk;3,5;2,2;0,0;0,0;0,0;0,0
NL:S:49613059;Lammertkamp;Harderwijk;0,2;0,3;0,0;0,0;0,0;0,0
NL:S:49613067;Walstein;Harderwijk;1,2;1,1;0,0;0,0;0,0;0,0
NL:S:49613069;Welkoop;Harderwijk;1,9;2,0;0,0;0,0;0,0;0,0
NL:S:49613071;Zuiderzeestraatweg;Harderwijk;0,5;0,5;0,0;0,0;0,0;0,0
NL:S:49613075;Burg. de Meesterstraat;Harderwijk;4,8;3,5;1,8;1,7;0,0;0,0
NL:S:49613077;Dolfinarium;Harderwijk;8,0;6,5;6,8;6,8;0,0;0,0
NL:S:49613405;Plantage;Harderwijk;0,9;1,2;0,0;0,0;0,0;0,0
NL:S:49613407;Centrum;Harderwijk;8,3;10,7;0,0;0,0;0,0;0,0
