CONCESSIE;QUAYCODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
23;NL:Q:61120040;Kerk;Beuningen;14,0;3,6;11,2;1,3;15,8;1,6
23;NL:Q:61120050;Distelakkerstraat;Beuningen;0,2;1,2;0,1;0,7;0,1;1,6
23;NL:Q:61120060;Distelakkerstraat;Beuningen;1,0;0,1;0,2;0,1;0,7;0,2
23;NL:Q:61120070;Kerk;Beuningen;6,3;17,1;3,9;9,5;3,6;19,3
23;NL:Q:61120090;Hommelstraat;Beuningen;0,5;3,4;0,5;2,1;0,5;3,1
23;NL:Q:61120100;Kerkstraat;Weurt;4,8;1,1;3,1;0,7;6,2;0,7
23;NL:Q:61120470;Gemeentehuis;Beuningen;1,2;3,6;0,4;1,9;0,4;4,4
23;NL:Q:61120480;Gemeentehuis;Beuningen;3,9;4,9;2,5;1,7;4,5;2,5
23;NL:Q:61220010;Julianastraat;Ewijk;2,3;14,3;1,0;8,2;1,8;9,4
23;NL:Q:61220020;Deijnschestraat;Winssen;0,7;0,1;0,6;0,0;1,3;1,1
23;NL:Q:61220030;Molenweg;Ewijk;0,3;1,2;0,1;0,8;0,1;1,1
23;NL:Q:61220040;Geerstraat;Winssen;1,6;0,1;0,7;0,3;1,1;0,2
23;NL:Q:61220060;Leegstraat;Winssen;6,3;1,4;3,9;0,5;6,2;0,8
23;NL:Q:61220070;Leegstraat;Winssen;1,6;6,1;0,3;3,6;0,7;5,3
23;NL:Q:61220090;Geerstraat;Winssen;0,1;1,4;0,0;0,9;0,1;0,9
23;NL:Q:61220100;Molenweg;Ewijk;1,1;0,6;1,0;0,0;1,2;0,0
23;NL:Q:61220110;Deijnschestraat;Winssen;0,1;0,5;0,0;0,8;0,1;0,3
23;NL:Q:61220120;Julianastraat;Ewijk;14,5;2,9;8,4;1,0;9,2;1,9
23;NL:Q:61220170;Keizershoeve;Ewijk;0,6;4,6;0,5;3,7;0,5;3,7
23;NL:Q:61220180;Keizershoeve;Ewijk;4,2;0,7;3,4;0,4;3,4;0,3
23;NL:Q:61220190;Plakstraat;Winssen;0,4;4,4;0,3;3,1;0,4;2,7
23;NL:Q:61220200;Plakstraat;Winssen;4,2;0,3;2,4;0,2;3,2;0,3
23;NL:Q:61280010;Achterstraat;Varik;0,0;0,3;0,0;0,0;0,0;0,0
23;NL:Q:61280020;Esterwegsestoep;Heesselt;0,0;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61280030;Kerkstraat 3;Varik;0,1;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61280040;Van Riemsdijk;Heesselt;0,0;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61280060;Gemeneweg;Heesselt;0,0;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61280070;Kerkstraat 38;Varik;0,3;1,0;0,0;0,0;0,0;0,0
23;NL:Q:61280080;Kerklaan;Heesselt;0,1;0,1;0,0;0,0;0,0;0,0
23;NL:Q:61280090;Postkantoor;Varik;0,1;0,5;0,0;0,0;0,0;0,0
23;NL:Q:61280100;Gerestraat 40;Heesselt;0,1;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61280110;Toevershof;Varik;0,1;0,3;0,0;0,0;0,0;0,0
23;NL:Q:61280120;Heesselt;Heesselt;0,1;0,0;0,0;0,0;0,0;0,0
23;NL:Q:61280130;Walgtsestraat;Varik;0,2;0,2;0,0;0,0;0,0;0,0
23;NL:Q:61280140;Sportterrein;Varik;0,1;0,1;0,0;0,0;0,0;0,0
23;NL:Q:61280150;Sportterrein;Varik;0,0;0,1;0,0;0,0;0,0;0,0
