STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
NL:S:61242010;7.3;5.0;2.9;2.3;2.7;1.6;Veenhof;Wijchen;179057.0;425551.0
NL:S:61242030;1.0;0.7;0.0;0.0;0.0;0.0;Weegbree;Wijchen;179039.0;425309.0
NL:S:61280010;0.1;0.2;0.0;0.0;0.0;0.0;Achterstraat;Varik;154348.5;426996.5
NL:S:61280020;0.0;0.0;0.0;0.0;0.0;0.0;Esterwegsestoep;Heesselt;151345.5;426352.0
NL:S:61280030;0.2;0.1;0.0;0.0;0.0;0.0;Kerkstraat 3;Varik;154236.5;426440.0
NL:S:61280040;0.1;0.0;0.0;0.0;0.0;0.0;Van Riemsdijk;Heesselt;151956.5;426150.0
NL:S:61280060;0.0;0.1;0.0;0.0;0.0;0.0;Gemeneweg;Heesselt;152261.0;425556.0
NL:S:61280070;0.9;0.5;0.0;0.0;0.0;0.0;Kerkstraat 38;Varik;153835.0;426406.0
NL:S:61280080;0.3;0.2;0.0;0.0;0.0;0.0;Kerklaan;Heesselt;152172.0;425019.5
NL:S:61280090;0.7;0.5;0.0;0.1;0.0;0.0;Postkantoor;Varik;153735.5;426211.0
NL:S:61280100;0.1;0.1;0.0;0.0;0.0;0.0;Gerestraat 40;Heesselt;152391.5;425031.5
NL:S:61280110;1.3;0.4;0.0;0.0;0.0;0.0;Toevershof;Varik;153653.0;425999.5
NL:S:61280120;0.0;0.0;0.0;0.0;0.0;0.0;Heesselt;Heesselt;152647.0;425277.5
NL:S:61280130;0.2;0.2;0.0;0.0;0.0;0.0;Walgtsestraat;Varik;153321.5;425638.0
NL:S:61280140;0.0;0.0;0.0;0.0;0.0;0.0;Sportterrein;Varik;152958.0;425666.0
NL:S:61301230;17.4;16.4;0.0;0.0;0.0;0.0;Kerkplein;Valburg;182692.0;435838.5
NL:S:61301310;1.8;2.2;0.0;0.0;0.0;0.0;Strandpark Noord;Valburg;181593.0;434631.5
