stopplacecode;quaycode;naam;plaats;straat;rd-x;rd-y;JAAR;Lijn;INSTAP_WERK;INSTAP_ZA;INSTAP_ZO;UITSTAP_WERK;UITSTAP_ZA;UITSTAP_ZO
NL:S:43005530;NL:Q:43005540;Goolkatenweg;Enschede;Hengelosestraat;256864;472060;2019;9;1041.0;68.0;18.0;1349.0;42.0;23.0
NL:S:43004010;NL:Q:43004010;Borstelweg;Enschede;Parkweg;256463;471325;2019;1;241.0;17.0;2.0;340.0;32.0;29.0
NL:S:43004010;NL:Q:43004010;Borstelweg;Enschede;Parkweg;256463;471325;2019;7;6.0;0.0;0.0;17.0;0.0;0.0
NL:S:43004010;NL:Q:43004020;Borstelweg;Enschede;Parkweg;256364;471306;2019;1;215.0;46.0;13.0;183.0;10.0;8.0
NL:S:43004010;NL:Q:43004020;Borstelweg;Enschede;Parkweg;256364;471306;2019;7;21.0;0.0;0.0;46.0;0.0;0.0
NL:S:43004340;NL:Q:43004340;Scansped;Enschede;Kanaalstraat;254806;472298;2019;7;0.0;0.0;0.0;6.0;0.0;0.0
NL:S:43004340;NL:Q:43004350;Scansped;Enschede;Kanaalstraat;254815;472280;2019;7;2.0;0.0;0.0;0.0;0.0;0.0
NL:S:90110201;NL:Q:90110201;Station (calamiteitenhalte Blauwnet);Enschede;Stationsplein;257701;471506;;;;;;;;
NL:S:43008390;NL:Q:43008390;Auke Vleerstraat;Enschede;Auke Vleerstraat;254820;473085;2019;8;15.0;0.0;0.0;38.0;0.0;0.0
NL:S:43008390;NL:Q:43008400;Auke Vleerstraat;Enschede;Auke Vleerstraat;254753;473031;2019;8;25.0;0.0;0.0;21.0;0.0;0.0
NL:S:43180070;NL:Q:43180070;Beukerweg;Lonneker;Oldenzaalsestraat;259445;475211;2019;60;2.0;0.0;0.0;43.0;0.0;0.0
NL:S:43180070;NL:Q:43180070;Beukerweg;Lonneker;Oldenzaalsestraat;259445;475211;2019;62;0.0;0.0;0.0;31.0;18.0;9.0
NL:S:43180070;NL:Q:43180080;Beukerweg;Lonneker;Oldenzaalsestraat;259398;475112;2019;60;30.0;0.0;0.0;5.0;0.0;0.0
NL:S:43180070;NL:Q:43180080;Beukerweg;Lonneker;Oldenzaalsestraat;259398;475112;2019;62;41.0;13.0;6.0;9.0;0.0;0.0
NL:S:43001620;NL:Q:43001620;Het Riet;Enschede;Het Riet;257274;468539;2019;508;1.0;0.0;0.0;13.0;0.0;0.0
NL:S:43001730;NL:Q:43001730;Hertmebrink;Enschede;Broekheurne-ring;256835;468073;2019;2;288.0;35.0;17.0;1196.0;150.0;49.0
NL:S:43001730;NL:Q:43001730;Hertmebrink;Enschede;Broekheurne-ring;256835;468073;2019;8;71.0;0.0;0.0;23.0;0.0;0.0
NL:S:43001730;NL:Q:43001740;Hertmebrink;Enschede;Broekheurne-ring;256833;468049;2019;2;1517.0;178.0;77.0;205.0;34.0;8.0
NL:S:43001730;NL:Q:43001740;Hertmebrink;Enschede;Broekheurne-ring;256833;468049;2019;8;44.0;0.0;0.0;76.0;0.0;0.0
NL:S:43001190;NL:Q:43001190;Deppenbroekstraat;Enschede;Lijsterstraat;258176;473267;2019;2;78.0;13.0;1.0;358.0;46.0;8.0
NL:S:43001550;NL:Q:43001550;Wkc Boswinkel;Enschede;Burgemeester Van Veenlaan;257050;469661;2019;1;508.0;63.0;14.0;2612.0;296.0;138.0
NL:S:43001550;NL:Q:43001560;Wkc Boswinkel;Enschede;Burgemeester Van Veenlaan;257063;469615;2019;1;2523.0;282.0;109.0;391.0;53.0;11.0
NL:S:43009994;NL:Q:43009994;Centrum/Zuidmolen;Enschede;Beltstraat;257905;471101;;;;;;;;
NL:S:43009994;NL:Q:43009995;Centrum/Zuidmolen;Enschede;Beltstraat;257910;471086;;;;;;;;
NL:S:44100540;NL:Q:44100540;Military;Boekelo;Boekelosestraat;252551;469476;;;;;;;;
NL:S:44100540;NL:Q:44100541;Military;Boekelo;Boekelosestraat;252494;469469;;;;;;;;
NL:S:44100510;NL:Q:44100510;Mobiliteitsplein;Boekelo;Boekelosestraat;252242;469460;;;;;;;;
NL:S:44100510;NL:Q:44100520;Mobiliteitsplein;Boekelo;Boekelosestraat;252243;469440;;;;;;;;
NL:S:90110191;NL:Q:90110192;Kennispark (calamiteitenhalte Blauwnet);Enschede;Capitool;254292;473271;;;;;;;;
NL:S:90110191;NL:Q:90110191;Kennispark (calamiteitenhalte Blauwnet);Enschede;Capitool;254307;473176;;;;;;;;
NL:S:43001600;NL:Q:43001600;Het Lang;Enschede;Het Lang;257407;468671;2019;508;8.0;1.0;0.0;7.0;1.0;0.0
NL:S:43003480;NL:Q:43003480;Auskamplanden;Enschede;Het Stroink;258340;467777;2019;4;1132.0;132.0;44.0;974.0;91.0;39.0
NL:S:43003480;NL:Q:43003480;Auskamplanden;Enschede;Het Stroink;258340;467777;2019;508;11.0;0.0;0.0;8.0;1.0;0.0
NL:S:43001490;NL:Q:43001490;Zuid Hollandlaan;Enschede;Burgemeester Van Veenlaan;257038;469356;2019;1;43.0;4.0;2.0;565.0;76.0;31.0
NL:S:43001490;NL:Q:43001500;Zuid Hollandlaan;Enschede;Burgemeester Van Veenlaan;257052;469335;2019;1;713.0;60.0;25.0;55.0;8.0;1.0
NL:S:43006090;NL:Q:43006090;Voortmansweg;Enschede;Oldenzaalsestraat;259113;473189;2019;60;11.0;0.0;0.0;22.0;0.0;0.0
NL:S:43006090;NL:Q:43006090;Voortmansweg;Enschede;Oldenzaalsestraat;259113;473189;2019;61;21.0;3.0;1.0;20.0;0.0;0.0
NL:S:43006090;NL:Q:43006090;Voortmansweg;Enschede;Oldenzaalsestraat;259113;473189;2019;62;10.0;3.0;2.0;34.0;3.0;2.0
NL:S:43006090;NL:Q:43006100;Voortmansweg;Enschede;Oldenzaalsestraat;259068;473151;2019;60;21.0;0.0;0.0;20.0;0.0;0.0
